date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:29:09	20505/20505	---M--	200	added ('OK')	text/html	etag:W/%225019-iCdPQ6AFQAAYfvyiJLh3UYVWnek%22	http://www.getweddie.com/sample/falling-hearts	E:/Kou%20Wedding/Kou-Wedding/www.getweddie.com/sample/falling-hearts.html	(from )
21:29:10	148/148	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Sat,%2006%20Feb%202021%2015:59:10%20GMT	http://www.getweddie.com/robots.txt		(from )
21:29:10	166/166	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2006%20Feb%202021%2015:59:10%20GMT	http://www.getweddie.com/v2/img/apple-touch-icon.png	E:/Kou%20Wedding/Kou-Wedding/www.getweddie.com/v2/img/apple-touch-icon.png	(from http://www.getweddie.com/sample/falling-hearts)
21:29:12	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%221544639720%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	E:/Kou%20Wedding/Kou-Wedding/maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from http://www.getweddie.com/sample/falling-hearts)
21:29:12	140936/140936	---M-Z	200	added ('OK')	text/css	etag:%225eb04010-22688%22	https://cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/4.1.3/css/bootstrap.min.css	E:/Kou%20Wedding/Kou-Wedding/cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/4.1.3/css/bootstrap.min.css	(from http://www.getweddie.com/sample/falling-hearts)
21:29:14	17239/17239	---M--	200	added ('OK')	text/css	etag:W/%224357-17775d2a4b8%22	http://www.getweddie.com/v2/css/style-falling-hearts.css	E:/Kou%20Wedding/Kou-Wedding/www.getweddie.com/v2/css/style-falling-hearts.css	(from http://www.getweddie.com/sample/falling-hearts)
21:29:14	214294/214294	---M-Z	200	added ('OK')	text/css	etag:%225eb03f1f-34516%22	https://cdnjs.cloudflare.com/ajax/libs/mdbootstrap/4.5.8/css/mdb.min.css	E:/Kou%20Wedding/Kou-Wedding/cdnjs.cloudflare.com/ajax/libs/mdbootstrap/4.5.8/css/mdb.min.css	(from http://www.getweddie.com/sample/falling-hearts)
21:29:16	16328/16328	---M--	200	added ('OK')	image/png	etag:W/%223fc8-17775d2a4b8%22	http://www.getweddie.com/v2/img/pair-groom.png	E:/Kou%20Wedding/Kou-Wedding/www.getweddie.com/v2/img/pair-groom.png	(from http://www.getweddie.com/sample/falling-hearts)
21:29:18	19643/19643	---M--	200	added ('OK')	image/png	etag:W/%224cbb-17775d2a4b8%22	http://www.getweddie.com/v2/img/pair-bride.png	E:/Kou%20Wedding/Kou-Wedding/www.getweddie.com/v2/img/pair-bride.png	(from http://www.getweddie.com/sample/falling-hearts)
21:29:21	25338/25338	---M--	200	added ('OK')	image/png	etag:W/%2262fa-17775d2a4b8%22	http://www.getweddie.com/v2/img/engaged.png	E:/Kou%20Wedding/Kou-Wedding/www.getweddie.com/v2/img/engaged.png	(from http://www.getweddie.com/sample/falling-hearts)
